1,Welcome by Sergeant-at-Arms,0.25,1,0.5
2,Introduction of Guests,0.25,1,0.5
3,Presidential Address / Introduction of TMOD,3,5,4
4,Introduction of the Day's Program,2,4,3
5,Briefing by the Timer,0.25,1,0.5
6,Briefing by the Grammarian,0.25,1,0.5
7,Briefing by the 'Ah' Counter,0.25,1,0.5
8,Joke session,2,3,2.5
9,Prepared Speech,5,7,6
10,Timer's Report,0.25,1,0.5
11,Introduction of Table Topic Master,0.25,1,0.5
12,Table Topic Speech,1,2,1.5
13,Introduction of General Evaluator,0.25,1,0.5
14,Briefing on the Evaluation Session,1,2,1.5
15,Evaluation Speech,2,3,2.5
16,Grammarian's Report,1,2,1.5
17,Ah' Counter's Report,0.25,1,0.5
18,Evaluation of the full program,2,4,3
19,Award Presentation,0.25,1,0.5
20,Planning for the next meeting,1,2,1.5
21,Closing Remarks & Adjournment of Meeting,1,2,1.5
